vaccine_date,moving_avg_3_days
21/01/2021,1740
22/01/2021,1693
23/01/2021,393
24/01/2021,407
25/01/2021,553
26/01/2021,393
27/01/2021,568
28/01/2021,630
29/01/2021,1687
30/01/2021,2500
31/01/2021,4122
01/02/2021,4707
02/02/2021,6923
03/02/2021,8337
04/02/2021,8631
05/02/2021,7274
06/02/2021,4648
07/02/2021,2620
08/02/2021,5549
09/02/2021,6776
