vaccine_date,trend_3_days
21/01/2021,943
22/01/2021,968
23/01/2021,4160
24/01/2021,4019
25/01/2021,2946
26/01/2021,4157
27/01/2021,2873
28/01/2021,2592
29/01/2021,959
30/01/2021,646
31/01/2021,390
01/02/2021,340
02/02/2021,227
03/02/2021,188
04/02/2021,181
05/02/2021,217
06/02/2021,338
07/02/2021,601
08/02/2021,262
09/02/2021,171
10/02/2021,140
